宝宝:2243,6,1,36,1,7,5,52,25,1,2,13,9,7,18,10,8,16
孩子:2450,14,2,72,5,8,10,151,11,26,6,27,129,11,49,19,37,68
吃:483,8,15,68,5,41,25,2362,22,79,32,576,90,41,53,27,112,50
穿:47,8,5,126,1,1525,4,6,10,34,25,3,26,40,9,2,21,30
民间故事:0,0,0,0,0,0,0,1,0,42,0,0,13,0,505,0,2,0
好吃:6,1,2,3,1,1,2,1140,0,1,0,13,0,3,1,1,6,1
科学家:5,0,445,0,0,1,0,0,0,1,3,1,0,0,0,10,2,9
地球:1,7,481,4,1,5,2,3,2,8,18,2,5,4,1,3,37,15
LOL:0,0,0,3,0,2,0,0,975,0,2,0,3,1,1,1,0,0
SUV:0,859,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
宇宙:0,1,358,3,0,6,2,1,13,3,3,0,0,1,0,5,0,2
游戏:9,2,4,27,1,2,12,2,935,5,7,0,5,2,2,27,4,5
中国:44,238,144,188,1,82,715,161,98,1012,2928,17,195,525,6,402,806,929
妈妈:1055,6,2,72,4,39,1,104,4,0,5,10,50,10,28,4,9,34
故事:36,12,7,27,18,10,20,17,52,97,14,4,43,17,544,26,38,16
做法:35,4,0,1,1,1,0,799,2,2,1,2,5,1,2,1,0,3
车:4,860,0,7,1,1,15,0,11,4,15,0,102,9,4,29,19,14
火星:1,0,259,7,0,0,0,0,2,1,7,0,0,1,0,3,0,4
王者:0,11,0,2,1,3,11,1,660,5,3,0,1,15,0,9,0,2
手机:28,9,3,19,2,12,5,5,46,1,7,5,72,5,11,819,18,17
时尚:6,42,0,39,0,710,3,6,1,3,1,0,8,3,0,7,6,10
皇帝:1,2,0,2,0,0,0,3,10,610,1,2,1,7,1,1,4,2
美军:0,0,0,0,0,0,0,0,0,30,586,0,1,0,0,0,0,20
英雄:1,6,1,20,0,2,3,0,699,78,27,1,10,33,2,1,1,10
荣耀:0,4,0,0,0,5,1,0,564,5,3,0,0,9,0,26,0,5
航母:0,0,0,0,0,1,2,0,2,0,515,0,0,0,0,2,2,3
历史:1,12,21,12,2,7,31,2,34,768,40,2,9,107,0,12,43,44
美味:6,1,0,0,0,1,1,509,1,0,0,5,1,0,0,1,14,6
怀孕:582,1,0,33,1,6,0,8,6,1,1,5,23,4,21,0,6,15
玩家:0,0,0,2,0,1,3,0,466,0,2,0,1,1,0,0,0,1
句子:1,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,1,0
美食:4,0,0,7,0,3,0,538,1,1,0,4,0,3,0,1,63,3
手游:0,0,0,0,0,0,0,0,447,0,2,0,0,0,0,1,0,0
人类:4,2,269,3,2,1,3,7,13,8,15,5,5,3,2,42,14,22
小米:1,1,0,0,0,2,2,8,5,0,0,1,0,0,0,452,2,0
菜:4,9,1,4,0,3,2,520,9,7,3,33,10,3,2,1,3,4
苹果:4,3,2,8,0,7,20,24,14,1,4,9,13,0,2,534,4,17
汽车:1,568,2,2,0,0,55,0,4,4,8,0,24,2,2,54,7,23
战机:0,0,0,0,0,0,0,0,4,2,418,0,0,0,0,1,0,12
导弹:0,0,0,0,0,0,1,0,2,1,411,0,4,0,0,0,0,8
NBA:0,2,1,1,1,3,1,0,3,0,0,0,0,399,0,4,0,0
守望:0,0,0,0,1,0,1,0,393,0,3,0,1,2,0,2,2,0
总统:0,8,1,3,0,5,4,1,0,29,21,0,3,2,1,1,5,460
人生:28,19,0,49,309,25,21,14,24,54,11,0,24,13,8,17,20,9
黑洞:0,0,157,1,0,3,2,0,4,1,2,0,2,1,0,1,0,2
NASA:0,0,149,0,0,0,0,0,0,0,3,0,0,0,0,5,0,2
先锋:0,2,0,1,0,0,2,0,378,1,4,0,1,1,0,4,2,0
旅游:4,5,4,5,0,5,18,10,1,3,3,0,20,0,4,17,452,22
发现:80,39,450,36,5,24,15,32,21,52,50,28,166,9,154,23,91,108
华为:0,0,0,1,1,1,11,1,3,0,1,0,2,0,0,365,1,2
男子:6,32,7,16,1,4,0,10,7,4,2,15,592,29,53,1,19,159
魔兽:0,1,2,26,0,0,0,1,390,0,1,0,2,19,0,5,1,0
做:533,82,18,105,66,147,128,1214,95,183,79,113,166,73,63,273,57,82
海军:0,0,1,0,0,2,1,0,0,8,349,0,2,0,0,2,1,4
解放军:0,0,0,2,0,0,0,0,2,13,348,0,0,2,0,0,0,2
句:25,4,0,4,177,1,2,0,1,10,4,9,5,1,3,0,0,0
DNF:1,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0
英国:9,15,8,5,0,17,106,8,6,32,41,0,7,41,1,9,15,545
股:0,1,0,0,0,0,324,2,0,0,2,0,0,0,1,3,0,1
量子:0,0,160,0,0,0,12,0,2,0,13,0,0,0,0,19,3,1
地方:19,17,8,6,4,9,21,19,10,23,16,17,29,11,12,8,476,21
A股:0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,2,0,0
街:1,7,0,17,0,398,0,11,7,11,6,0,10,8,1,8,30,9
古代:6,0,7,2,2,3,1,3,1,337,6,3,0,0,12,1,3,1
歼:0,0,1,0,0,0,0,0,0,2,290,0,0,0,0,0,0,2
武器:0,0,3,1,2,0,2,1,127,15,427,1,1,1,2,7,1,17
公告:0,3,1,0,0,0,318,0,15,0,0,0,9,0,0,2,4,1
奥迪:0,298,0,1,1,0,0,0,0,0,1,0,12,0,0,1,0,1
毛主席:0,1,0,3,0,0,0,3,0,306,18,0,1,0,0,1,0,1
家长:331,1,0,4,2,1,3,3,1,0,2,3,31,1,1,0,0,3
球员:0,0,0,0,0,0,0,0,3,0,0,0,0,280,0,0,0,1
股份:0,2,0,1,0,0,289,0,0,0,0,0,1,2,0,7,0,1
宝马:0,310,0,4,0,0,2,0,0,1,1,0,12,2,2,8,2,2
搭配:11,4,0,6,0,407,1,59,68,1,8,6,0,3,0,1,0,0
奔驰:0,299,0,1,0,1,1,0,1,0,2,0,12,3,1,3,0,1
穿衣:7,0,0,12,0,296,0,0,0,2,1,0,0,2,0,2,0,1
气质:5,13,0,46,5,358,0,3,5,2,2,0,0,12,0,0,1,9
美国:30,54,49,35,0,16,119,25,18,114,817,8,39,103,7,88,61,914
上市:0,386,0,2,0,0,85,13,12,1,0,1,4,2,2,36,2,1
时髦:0,0,0,4,0,266,0,1,0,4,0,0,0,1,0,0,0,1
车型:0,250,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
新车:0,257,0,0,0,0,1,0,0,0,0,0,6,1,0,1,0,2
有限公司:0,0,0,0,0,0,249,0,0,0,0,0,2,0,0,2,0,0
